"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Friends","No minimum wage","Ban on hijab in schools","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",0,2,0,552,"Male","18 - 29","No","Some college but no degree","0",4,1,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","158.328"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,2,0,553,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",2,3,5,"Asylum policies (e.g. family reunification, resettlement)","USA","1","83.815"
"Family","No minimum wage","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",0,2,0,554,"Female","30-39","No","Some college but no degree","0",7,3,3,"Education opportunities","Canada","1","48.981"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",1,2,0,555,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,1,5,"Citizenship and rights","UK","1","29.885"
"Friends","Free housing","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Canada",1,2,0,556,"Female","40-49","Yes","Bachelor's degree (4-year)","0",4,1,5,"Education opportunities","UK","1","31.906"
"Friends","Free healthcare","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,2,1,558,"Female","30-39","Yes","Bachelor's degree (4-year)","0",2,1,6,"Citizenship and rights","UK","1","46.112"
"Friends","Free housing","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,0,561,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,5,"Education opportunities","USA","1","84.9"
"Family","Free housing","No religious bans","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,2,0,563,"Female","18 - 29","No","Some college but no degree","0",7,1,4,"Education opportunities","UK","1","23.61"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",0,2,0,564,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,3,"Citizenship and rights","Canada","1","5.048"
"No contacts","Free housing","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,567,"Female","18 - 29","No","Some college but no degree","1",8,4,3,"Citizenship and rights","Canada","1","73.536"
"No contacts","Free healthcare","No religious bans","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,0,571,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,1,NA,"Education opportunities","Canada","1","71.902"
"Other Syrians","Free housing","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",0,2,0,572,"Male","30-39","Yes","Bachelor's degree (4-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","222.04"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,2,0,573,"Male","18 - 29","No","Bachelor's degree (4-year)","1",2,1,5,"Citizenship and rights","Canada","1","64.732"
"Family","Free healthcare","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,1,580,"Male","18 - 29","No","Less than high school degree","0",2,1,3,"Citizenship and rights","USA","1","42.546"
"Family","No minimum wage","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",0,2,1,585,"Male","18 - 29","Yes","Some college but no degree","0",5,1,2,"Citizenship and rights","USA","1","48.14"
"Family","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,0,588,"Male","30-39","Yes","Some college but no degree","0",4,3,5,"Education opportunities","Germany","1","69.936"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,2,0,590,"Male","40-49","Yes","Diploma or technical certificate (2-year)","0",8,4,5,"Citizenship and rights","Other / Prefer not to answer","1","4.844"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,2,0,592,"Female","18 - 29","Yes","Some college but no degree","0",5,2,3,"Citizenship and rights","UK","1","76.755"
"Friends","No minimum wage","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,2,0,595,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,1,6,"Citizenship and rights","Canada","1","40.068"
"Other Syrians","Free housing","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,2,0,596,"Female","18 - 29","No","Some college but no degree","0",5,3,3,"Employment / career opportunities","Canada","1","53.13"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,2,1,597,"Male","18 - 29","No","Some college but no degree","0",6,1,5,"Citizenship and rights","UK","1","84.701"
"Friends","Free housing","No religious bans","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,2,0,600,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,4,"Employment / career opportunities","Canada","1","72.497"
"No contacts","Free healthcare","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,2,0,603,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,4,5,"Education opportunities","Canada","1","21.402"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,2,0,605,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,3,5,"Citizenship and rights","Germany","1","10.874"
"Family","Free housing","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,2,0,608,"Male","50-59","Yes","Bachelor's degree (4-year)","0",4,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","1","75.585"
"Other Syrians","Free healthcare","Ban on hijab in schools","After 5 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,2,1,614,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,3,"Citizenship and rights","UK","1","153.71"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",0,2,0,616,"Male","30-39","No","High school graduate (Baccalaureate / Tawjihi)","1",8,1,5,"Citizenship and rights","Germany","1","61.9"
"Family","Generous support for refugees","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,2,1,619,"Male","30-39","Yes","Some college but no degree","1",6,1,2,"Good reputation","Canada","1","24.574"
"Other Syrians","Free healthcare","No religious bans","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",1,2,0,620,"Male","30-39","Yes","Bachelor's degree (4-year)","0",5,2,NA,"Education opportunities","UK","1","15.446"
"Family","Generous support for refugees","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,621,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,1,3,"Citizenship and rights","Canada","1","16.47"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",0,2,0,623,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,2,"Citizenship and rights","Other / Prefer not to answer","1","31.963"
"Friends","Free healthcare","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,2,0,626,"Female","18 - 29","No","Bachelor's degree (4-year)","1",8,1,5,"Citizenship and rights","Canada","1","23.927"
"No contacts","No minimum wage","No religious bans","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,2,0,630,"Male","30-39","Yes","Less than high school degree","0",8,1,NA,"Citizenship and rights","Canada","1","54.703"
